2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-9] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/disciplinas | IP: 192.168.18.6
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-3] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/aulas | IP: 192.168.18.6
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-1] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/blocos | IP: 192.168.18.6
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-10] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/turmas | IP: 192.168.18.6
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-6] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/usuarios/listar/professores | IP: 192.168.18.6
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-9] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 7ms | URI: /api/disciplinas
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-1] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 7ms | URI: /api/blocos
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-10] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 8ms | URI: /api/turmas
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-3] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 6ms | URI: /api/aulas
2025-10-24 00:00:05 [http-nio-0.0.0.0-8080-exec-6] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 9ms | URI: /api/usuarios/listar/professores
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-8] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/usuarios/listar/professores | IP: 192.168.18.6
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-7] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/disciplinas | IP: 192.168.18.6
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-4] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/aulas | IP: 192.168.18.6
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-2] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/turmas | IP: 192.168.18.6
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-5] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/blocos | IP: 192.168.18.6
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-7] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 1ms | URI: /api/disciplinas
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-5] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 1ms | URI: /api/blocos
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-2] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 2ms | URI: /api/turmas
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-4] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 2ms | URI: /api/aulas
2025-10-24 00:00:10 [http-nio-0.0.0.0-8080-exec-8] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 3ms | URI: /api/usuarios/listar/professores
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-7] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/usuarios/listar/professores | IP: 192.168.18.6
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-8] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/aulas | IP: 192.168.18.6
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-2] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/turmas | IP: 192.168.18.6
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-4] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/blocos | IP: 192.168.18.6
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-5] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_REQUEST | Method: GET | URI: /api/disciplinas | IP: 192.168.18.6
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-4] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 2ms | URI: /api/blocos
2025-10-24 00:00:16 [http-nio-0.0.0.0-8080-exec-5] INFO  c.i.i.c.c.i.LoggingInterceptor - HTTP_RESPONSE | Status: 200 | Duration: 2ms | URI: /api/disciplinas
